Country Name,Country Code,2022 [YR2022] - GDP (current US$) [NY.GDP.MKTP.CD],"2022 [YR2022] - Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]",2022 [YR2022] - Exports of goods and services (% of GDP) [NE.EXP.GNFS.ZS],2022 [YR2022] - Imports of goods and services (% of GDP) [NE.IMP.GNFS.ZS],"2022 [YR2022] - Inflation, GDP deflator (annual %) [NY.GDP.DEFL.KD.ZG]","2022 [YR2022] - Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","2022 [YR2022] - Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]",2022 [YR2022] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD]
Afghanistan,AFG,14502158192.0904,57.7,18.3800424016375,54.5054272070161,9.40623933931322,62.879,4.523,372.615894847401
Albania,ALB,18916378860.5488,9.4,37.395422208546,47.7542583145142,9.86601343108215,76.833,1.376,5155.29085964151
Algeria,DZA,225560256621.757,21.8,31.4468558130383,20.3943509800654,22.8860752407762,77.129,2.829,4602.57560847786
American Samoa,ASM,871000000,..,46.9575200918485,77.7267508610792,14.1527648578811,..,..,14969.0599426218
Andorra,AND,3380602042.84283,2.7,..,..,4.23599022878203,..,..,39720.951858885
Angola,AGO,104399746853.401,66.9,44.3996170780022,25.2994284109634,13.7098475207842,61.929,5.209,2385.11995566245
Antigua and Barbuda,ATG,1867733333.33333,9.5,54.689582143537,62.9404229329272,6.49885619566375,79.236,1.58,17335.047039518
Argentina,ARG,631133384439.944,9.4,16.2995616770379,15.3509522986127,69.4712395512144,76.064,1.876,12940.7384352157
Armenia,ARM,19513474648.2429,10.3,50.0136476951451,50.9928446789957,7.98570196971615,73.372,1.575,5116.2057562944
Aruba,ABW,3544707788.05664,..,83.1246052910135,77.3346519395464,3.41284225233898,74.992,1.179,32492.1788775214
Australia,AUS,1692956646855.7,3.8,25.4271241344048,19.7096203060062,7.12307572259287,83.2,1.63,60972.8703431498
Austria,AUT,470941926750.741,3.2,62.0831749838848,61.6022637210822,5.29728373412017,81.0926829268293,1.41,46697.8565193913
Azerbaijan,AZE,78807470588.2353,18.1,59.9868480668076,26.9954251873703,37.2705611565603,73.488,1.67,5595.25578671563
"Bahamas, The",BHS,13136400000,12.9,39.4270880911056,43.7471453366219,4.30104615816353,74.358,1.38,29477.2358532721
Bahrain,BHR,44383297872.3404,6.5,..,..,7.69906735801398,79.246,1.797,24353.0732609115
Bangladesh,BGD,460131688909.301,28.8,12.8822264348985,20.897740835675,5.04902187883131,73.698,1.95,1785.36131679937
Barbados,BRB,5840673700,10.9,34.2820015780029,42.1781454766083,4.07580648343971,77.706,1.634,16947.3822144798
Belarus,BLR,73775179924.603,2.6,63.0511868938428,56.973020682251,14.884680385365,73.1114634146342,1.495,6206.6488548556
Belgium,BEL,583613982019.263,3.7,95.7022354373412,97.3309032237925,5.89170297905721,81.6975609756098,1.53,44198.1960002523
Belize,BLZ,2830507575.6841,10.9,52.3749558700201,55.5757284622893,7.36483425999626,70.962,1.989,6191.66283746796
Benin,BEN,17425418044.2906,80.8,21.6532095498925,29.2803105204475,4.13878000011482,59.954,4.895,1255.60729255385
Bermuda,BMU,7827980000,..,50.463452895894,25.0477390080199,0.938226826481198,81.571,1.3,112431.384133779
Bhutan,BTN,2898227713.22315,23.7,25.7916518355066,60.1385173325092,5.79486005151392,72.229,1.398,3336.37629915679
Bolivia,BOL,44008282879.8842,23.9,32.6115548527874,35.1443439153378,5.12446443182509,64.928,2.584,3134.76632143947
Bosnia and Herzegovina,BIH,24534663636.1778,6,48.1258841642514,61.8839303959771,11.8088401064015,75.293,1.346,6270.85848741206
Botswana,BWA,20321958850.0363,38.7,43.5418799471132,42.0664228333796,14.6175509748138,65.913,2.754,6641.56980740549
Brazil,BRA,1951923942083.32,14,19.6307650034371,19.1853009729027,8.5702819532232,73.425,1.626,8822.04504268033
British Virgin Islands,VGB,..,13.1,..,..,..,76.373,1.015,..
Brunei Darussalam,BRN,16681536466.7183,9.7,86.3893568836847,60.5846089959126,24.2367268387765,74.551,1.764,28954.0640896097
Bulgaria,BGR,90346169914.9349,6.1,69.1940036628315,68.9888257228862,16.1819558948452,74.3609756097561,1.78,9550.94254965707
Burkina Faso,BFA,18820219331.2261,78.8,31.5344130182468,33.0990299075644,5.8891253677839,59.766,4.665,735.998131899835
Burundi,BDI,3338722827.65691,50.5,4.9710985076333,23.3442218510957,18.3317223148693,61.977,4.98,262.184804661597
Cabo Verde,CPV,2303738020.15148,12.3,39.7330586126247,56.2432628399581,7.54711051559526,74.722,1.879,3551.24824187234
Cambodia,KHM,29504829319.3169,23.7,68.3352522968929,54.8518801235756,4.07039106451663,69.896,2.322,1488.81455084105
